Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
Braille37,Label Resampled,Multilabel,1,0.9001650165016502,0.8927986906710311,0.8964667214461792
Braille37,Label Resampled,Multilabel,2,0.9940944881889764,0.9655831739961759,0.979631425800194
Braille37,Label Resampled,Multilabel,3,0.9556048834628191,0.9338394793926247,0.9445968184311574
Braille37,Label Resampled,Multilabel,4,0.9754385964912281,0.8755905511811024,0.9228215767634855
Braille37,Label Resampled,Multilabel,5,0.950733752620545,0.8927165354330708,0.9208121827411166
Braille37,Label Resampled,Multilabel,6,0.9496527777777778,0.9147157190635451,0.9318568994889267
Braille37,Label Resampled,Multilabel,7,0.9796334012219959,0.950592885375494,0.9648946840521564
Braille37,Label Resampled,Multilabel,8,,0.0,
Braille37,Label Resampled,Multilabel,9,0.9511434511434511,0.8979391560353287,0.9237758707723371
Braille37,Label Resampled,Multilabel,10,0.9678423236514523,0.9192118226600985,0.9429004547751388
Braille37,Label Resampled,Multilabel,11,0.9639546858908342,0.975,0.9694458829621958
Braille37,Label Resampled,Multilabel,12,,0.0,
Braille37,Label Resampled,Multilabel,13,0.893595041322314,0.9796149490373726,0.9346299297676931
Braille37,Label Resampled,Multilabel,14,0.9688796680497925,0.9831578947368421,0.9759665621734587
Braille37,Label Resampled,Multilabel,15,0.9670781893004116,0.9761163032191069,0.9715762273901809
Braille37,Label Resampled,Multilabel,16,,0.0,
Braille37,Label Resampled,Multilabel,17,0.9215167548500882,0.9803001876172608,0.9500000000000001
Braille37,Label Resampled,Multilabel,18,0.9949066213921901,0.9242902208201893,0.9582992641046607
Braille37,Label Resampled,Multilabel,19,0.9296794208893485,0.9677072120559742,0.9483122362869199
Braille37,Label Resampled,Multilabel,20,,0.0,
Braille37,Label Resampled,Multilabel,21,0.9103869653767821,0.9749182115594329,0.9415481832543443
Braille37,Label Resampled,Multilabel,22,0.8534136546184738,0.906183368869936,0.8790072388831438
Braille37,Label Resampled,Multilabel,23,0.9401709401709402,0.9744094488188977,0.9569840502658289
